risk_rank,occupation_code,total_asset,AGE,cycam,country,cur_type,amt,date
1,2.0,43580.0,2,174655.0,130,47,2671.0,298
1,2.0,104804.0,2,174655.0,130,47,9256.0,351
3,15.0,86994.0,5,206512.0,130,47,516.0,320
3,15.0,44832.0,5,206512.0,130,47,45.0,350
3,15.0,44832.0,5,206512.0,130,47,107.0,350
3,15.0,44832.0,5,206512.0,130,47,723.0,363
3,12.0,9537.0,4,150206.0,130,47,270.0,83
3,12.0,9537.0,4,150206.0,130,47,241.0,83
3,12.0,9537.0,4,150206.0,130,47,741.0,83
3,12.0,9537.0,4,150206.0,130,47,280.0,83
3,12.0,9537.0,4,150206.0,130,47,4062.0,83
3,12.0,9537.0,4,150206.0,130,47,345.0,88
3,12.0,9537.0,4,150206.0,130,47,201.0,88
3,12.0,11478.0,4,150206.0,130,47,260.0,105
3,12.0,11478.0,4,150206.0,44,47,112.0,105
3,12.0,11478.0,4,150206.0,130,47,120.0,106
3,12.0,11478.0,4,150206.0,130,47,1644.0,109
3,12.0,11478.0,4,150206.0,44,47,1379.0,109
3,12.0,11478.0,4,150206.0,130,47,183.0,109
3,12.0,11478.0,4,150206.0,130,47,613.0,110
3,12.0,11478.0,4,150206.0,130,47,145.0,110
3,12.0,11478.0,4,150206.0,130,47,421.0,110
3,12.0,11478.0,4,150206.0,130,47,794.0,111
3,12.0,11478.0,4,150206.0,130,47,336.0,111
3,12.0,11478.0,4,150206.0,130,47,188.0,111
3,12.0,11478.0,4,150206.0,130,47,701.0,117
3,12.0,9155.0,4,150206.0,130,47,776.0,123
3,12.0,9155.0,4,150206.0,130,47,194.0,123
3,12.0,9155.0,4,150206.0,130,47,49.0,123
3,12.0,9155.0,4,150206.0,130,47,89.0,124
3,12.0,9155.0,4,150206.0,130,47,69.0,124
3,12.0,9155.0,4,150206.0,130,47,99.0,124
3,12.0,9155.0,4,150206.0,130,47,228.0,124
3,12.0,9155.0,4,150206.0,130,47,154.0,125
3,12.0,9155.0,4,150206.0,130,47,180.0,125
3,12.0,9155.0,4,150206.0,130,47,230.0,125
3,12.0,9155.0,4,150206.0,130,47,114.0,126
3,12.0,9155.0,4,150206.0,130,47,190.0,126
3,12.0,9155.0,4,150206.0,130,47,154.0,126
3,12.0,9155.0,4,150206.0,130,47,69.0,127
3,12.0,9155.0,4,150206.0,130,47,179.0,127
3,12.0,9155.0,4,150206.0,130,47,114.0,127
3,12.0,9155.0,4,150206.0,130,47,169.0,130
3,12.0,9155.0,4,150206.0,130,47,127.0,130
3,12.0,9155.0,4,150206.0,130,47,213.0,131
3,12.0,9155.0,4,150206.0,130,47,69.0,131
3,12.0,9155.0,4,150206.0,130,47,105.0,132
3,12.0,9155.0,4,150206.0,130,47,200.0,134
3,12.0,9155.0,4,150206.0,130,47,190.0,137
3,12.0,9155.0,4,150206.0,130,47,159.0,137
3,12.0,9155.0,4,150206.0,130,47,925.0,138
3,12.0,9155.0,4,150206.0,61,47,180.0,138
3,12.0,9155.0,4,150206.0,130,47,432.0,139
3,12.0,9155.0,4,150206.0,130,47,82.0,139
3,12.0,9155.0,4,150206.0,130,47,199.0,140
3,12.0,9155.0,4,150206.0,130,47,89.0,141
3,12.0,9155.0,4,150206.0,130,47,271.0,144
3,12.0,9155.0,4,150206.0,130,47,95.0,144
3,12.0,9155.0,4,150206.0,130,47,182.0,144
3,12.0,9155.0,4,150206.0,130,47,334.0,144
3,12.0,9155.0,4,150206.0,130,47,40.0,144
3,12.0,9155.0,4,150206.0,130,47,138.0,145
3,12.0,9155.0,4,150206.0,130,47,89.0,145
3,12.0,9155.0,4,150206.0,130,47,322.0,146
3,12.0,9155.0,4,150206.0,130,47,89.0,147
3,12.0,9155.0,4,150206.0,130,47,169.0,147
3,12.0,9155.0,4,150206.0,130,47,489.0,151
3,12.0,9155.0,4,150206.0,130,47,989.0,151
3,12.0,4093.0,4,150206.0,130,47,169.0,152
3,12.0,4093.0,4,150206.0,61,47,70.0,152
3,12.0,4093.0,4,150206.0,130,47,80.0,152
3,12.0,4093.0,4,150206.0,130,47,861.0,152
3,12.0,4093.0,4,150206.0,130,47,195.0,153
3,12.0,4093.0,4,150206.0,130,47,34.0,153
3,12.0,4093.0,4,150206.0,130,47,105.0,155
3,12.0,4093.0,4,150206.0,130,47,99.0,155
3,12.0,4093.0,4,150206.0,130,47,1322.0,155
3,12.0,4093.0,4,150206.0,130,47,683.0,158
3,12.0,4093.0,4,150206.0,130,47,391.0,158
3,12.0,4093.0,4,150206.0,130,47,61.0,158
3,12.0,4093.0,4,150206.0,130,47,80.0,159
3,12.0,4093.0,4,150206.0,130,47,220.0,159
3,12.0,4093.0,4,150206.0,130,47,955.0,160
3,12.0,4093.0,4,150206.0,130,47,455.0,160
3,12.0,4093.0,4,150206.0,130,47,85.0,161
3,12.0,4093.0,4,150206.0,130,47,180.0,161
3,12.0,4093.0,4,150206.0,130,47,37.0,162
3,12.0,4093.0,4,150206.0,44,47,255.0,163
