alert_key,risk_rank,occupation_code,total_asset,AGE,trans_no,trade_amount_usd,cycam,date,sar_flag
303465,1,2.0,43580.0,2,0,34612.0,174655.0,279,0
304174,1,2.0,43580.0,2,0,34736.0,174655.0,280,0
306002,1,2.0,43580.0,2,0,35043.0,174655.0,281,0
306617,1,2.0,43580.0,2,0,35409.0,174655.0,284,0
307305,1,2.0,43580.0,2,0,35730.0,174655.0,285,0
308126,1,2.0,43580.0,2,0,35942.0,174655.0,286,0
308888,1,2.0,43580.0,2,0,36748.0,174655.0,287,0
310104,1,2.0,43580.0,2,0,34462.0,174655.0,278,0
311822,1,2.0,43580.0,2,0,36973.0,174655.0,288,0
313262,1,2.0,43580.0,2,0,37274.0,174655.0,291,0
313889,1,2.0,43580.0,2,0,37343.0,174655.0,293,0
314596,1,2.0,43580.0,2,0,37156.0,174655.0,294,0
316973,1,2.0,43580.0,2,0,58196.0,174655.0,298,0
318127,1,2.0,43580.0,2,0,58395.0,174655.0,299,0
318768,1,2.0,43580.0,2,0,59072.0,174655.0,300,0
319469,1,2.0,43580.0,2,0,59293.0,174655.0,301,0
321393,1,2.0,43580.0,2,0,57020.0,174655.0,302,0
322212,1,2.0,126065.0,2,0,61274.0,174655.0,313,0
322935,1,2.0,126065.0,2,0,61270.0,174655.0,314,0
323489,1,2.0,126065.0,2,0,61248.0,174655.0,315,0
324298,1,2.0,126065.0,2,0,61204.0,174655.0,316,0
325354,1,2.0,126065.0,2,0,61160.0,174655.0,319,0
325867,1,2.0,126065.0,2,0,61264.0,174655.0,320,0
326712,1,2.0,126065.0,2,0,61116.0,174655.0,321,0
328898,1,2.0,126065.0,2,0,57497.0,174655.0,327,0
329695,1,2.0,126065.0,2,0,57418.0,174655.0,328,0
330524,1,2.0,126065.0,2,0,49490.0,174655.0,329,0
332906,1,2.0,126065.0,2,0,61297.0,174655.0,312,0
333669,1,2.0,126065.0,2,0,30028.0,174655.0,330,0
334851,1,2.0,104804.0,2,0,58896.0,174655.0,335,0
337493,1,2.0,104804.0,2,0,47122.0,174655.0,337,0
339586,1,2.0,104804.0,2,0,49767.0,174655.0,343,0
340689,1,2.0,104804.0,2,0,46691.0,174655.0,340,0
341287,1,2.0,104804.0,2,0,50094.0,174655.0,344,0
342226,1,2.0,104804.0,2,0,50098.0,174655.0,347,0
343347,1,2.0,104804.0,2,0,49836.0,174655.0,349,0
345092,1,2.0,104804.0,2,0,51251.0,174655.0,334,0
345532,1,2.0,104804.0,2,0,50327.0,174655.0,351,0
346340,1,2.0,104804.0,2,0,52838.0,174655.0,354,0
346833,1,2.0,104804.0,2,0,52818.0,174655.0,355,0
348049,1,2.0,104804.0,2,0,48110.0,174655.0,357,0
350469,1,2.0,104804.0,2,0,47827.0,174655.0,362,0
350992,1,2.0,104804.0,2,0,48235.0,174655.0,363,0
207511,3,12.0,9537.0,4,0,12117.0,150206.0,83,0
209678,3,12.0,9537.0,4,0,10014.0,150206.0,88,0
217887,3,12.0,11478.0,4,0,16973.0,150206.0,105,0
218389,3,12.0,11478.0,4,0,121744.0,150206.0,106,0
219000,3,12.0,11478.0,4,0,138358.0,150206.0,109,0
219940,3,12.0,11478.0,4,0,138358.0,150206.0,110,0
220255,3,12.0,11478.0,4,0,135267.0,150206.0,111,0
