risk_rank,occupation_code,total_asset,AGE,cycam,trans_no,trade_amount_usd,date
1,2.0,43580.0,2,174655.0,0,34612.0,279
1,2.0,43580.0,2,174655.0,0,34736.0,280
1,2.0,43580.0,2,174655.0,0,35043.0,281
1,2.0,43580.0,2,174655.0,0,35409.0,284
1,2.0,43580.0,2,174655.0,0,35730.0,285
1,2.0,43580.0,2,174655.0,0,35942.0,286
1,2.0,43580.0,2,174655.0,0,36748.0,287
1,2.0,43580.0,2,174655.0,0,34462.0,278
1,2.0,43580.0,2,174655.0,0,36973.0,288
1,2.0,43580.0,2,174655.0,0,37274.0,291
1,2.0,43580.0,2,174655.0,0,37343.0,293
1,2.0,43580.0,2,174655.0,0,37156.0,294
1,2.0,43580.0,2,174655.0,0,58196.0,298
1,2.0,43580.0,2,174655.0,0,58395.0,299
1,2.0,43580.0,2,174655.0,0,59072.0,300
1,2.0,43580.0,2,174655.0,0,59293.0,301
1,2.0,43580.0,2,174655.0,0,57020.0,302
1,2.0,126065.0,2,174655.0,0,61274.0,313
1,2.0,126065.0,2,174655.0,0,61270.0,314
1,2.0,126065.0,2,174655.0,0,61248.0,315
1,2.0,126065.0,2,174655.0,0,61204.0,316
1,2.0,126065.0,2,174655.0,0,61160.0,319
1,2.0,126065.0,2,174655.0,0,61264.0,320
1,2.0,126065.0,2,174655.0,0,61116.0,321
1,2.0,126065.0,2,174655.0,0,57497.0,327
1,2.0,126065.0,2,174655.0,0,57418.0,328
1,2.0,126065.0,2,174655.0,0,49490.0,329
1,2.0,126065.0,2,174655.0,0,61297.0,312
1,2.0,126065.0,2,174655.0,0,30028.0,330
1,2.0,104804.0,2,174655.0,0,58896.0,335
1,2.0,104804.0,2,174655.0,0,47122.0,337
1,2.0,104804.0,2,174655.0,0,49767.0,343
1,2.0,104804.0,2,174655.0,0,46691.0,340
1,2.0,104804.0,2,174655.0,0,50094.0,344
1,2.0,104804.0,2,174655.0,0,50098.0,347
1,2.0,104804.0,2,174655.0,0,49836.0,349
1,2.0,104804.0,2,174655.0,0,51251.0,334
1,2.0,104804.0,2,174655.0,0,50327.0,351
1,2.0,104804.0,2,174655.0,0,52838.0,354
1,2.0,104804.0,2,174655.0,0,52818.0,355
1,2.0,104804.0,2,174655.0,0,48110.0,357
1,2.0,104804.0,2,174655.0,0,47827.0,362
1,2.0,104804.0,2,174655.0,0,48235.0,363
3,12.0,9537.0,4,150206.0,0,12117.0,83
3,12.0,9537.0,4,150206.0,0,10014.0,88
3,12.0,11478.0,4,150206.0,0,16973.0,105
3,12.0,11478.0,4,150206.0,0,121744.0,106
3,12.0,11478.0,4,150206.0,0,138358.0,109
3,12.0,11478.0,4,150206.0,0,138358.0,110
3,12.0,11478.0,4,150206.0,0,135267.0,111
3,12.0,11478.0,4,150206.0,0,29541.0,117
3,12.0,9155.0,4,150206.0,0,30041.0,123
3,12.0,9155.0,4,150206.0,0,30242.0,124
3,12.0,9155.0,4,150206.0,0,30542.0,125
3,12.0,9155.0,4,150206.0,0,30642.0,126
3,12.0,9155.0,4,150206.0,0,102033.0,127
3,12.0,9155.0,4,150206.0,0,178438.0,130
3,12.0,9155.0,4,150206.0,0,163356.0,131
3,12.0,9155.0,4,150206.0,0,215269.0,132
3,12.0,9155.0,4,150206.0,0,108268.0,133
3,12.0,9155.0,4,150206.0,0,177558.0,134
3,12.0,9155.0,4,150206.0,0,174808.0,137
3,12.0,9155.0,4,150206.0,0,181518.0,138
3,12.0,9155.0,4,150206.0,0,191680.0,139
3,12.0,9155.0,4,150206.0,0,119836.0,140
3,12.0,9155.0,4,150206.0,0,71132.0,141
3,12.0,9155.0,4,150206.0,0,51921.0,144
3,12.0,9155.0,4,150206.0,0,54539.0,145
3,12.0,9155.0,4,150206.0,0,193490.0,146
3,12.0,9155.0,4,150206.0,0,122946.0,147
3,12.0,9155.0,4,150206.0,0,184643.0,151
3,12.0,4093.0,4,150206.0,0,184961.0,152
3,12.0,4093.0,4,150206.0,0,114041.0,153
3,12.0,4093.0,4,150206.0,0,112833.0,154
3,12.0,4093.0,4,150206.0,0,249669.0,155
3,12.0,4093.0,4,150206.0,0,146131.0,158
3,12.0,4093.0,4,150206.0,0,37852.0,159
3,12.0,4093.0,4,150206.0,0,250343.0,160
3,12.0,4093.0,4,150206.0,0,177633.0,161
3,12.0,4093.0,4,150206.0,0,250343.0,162
3,12.0,4093.0,4,150206.0,0,250343.0,165
3,12.0,4093.0,4,150206.0,0,124905.0,166
3,12.0,4093.0,4,150206.0,0,196658.0,167
3,12.0,4093.0,4,150206.0,0,250343.0,168
3,12.0,4093.0,4,150206.0,0,196146.0,169
3,12.0,4093.0,4,150206.0,0,250343.0,174
3,12.0,4093.0,4,150206.0,0,112317.0,175
3,12.0,4093.0,4,150206.0,0,243525.0,176
3,12.0,4093.0,4,150206.0,0,250343.0,179
3,12.0,4093.0,4,150206.0,0,250343.0,180
3,12.0,4093.0,4,150206.0,0,250343.0,181
3,12.0,81328.0,4,150206.0,0,190471.0,182
3,12.0,81328.0,4,150206.0,0,248598.0,183
3,12.0,81328.0,4,150206.0,0,140193.0,189
3,12.0,2833.0,4,150206.0,0,97760.0,216
3,12.0,2833.0,4,150206.0,0,225530.0,218
3,12.0,2833.0,4,150206.0,0,250343.0,223
3,12.0,2833.0,4,150206.0,0,250343.0,225
3,12.0,2833.0,4,150206.0,0,250343.0,229
3,12.0,2833.0,4,150206.0,0,248078.0,230
3,12.0,2833.0,4,150206.0,0,248419.0,231
3,12.0,2833.0,4,150206.0,0,250343.0,232
3,12.0,2833.0,4,150206.0,0,250343.0,235
3,12.0,2833.0,4,150206.0,0,250343.0,236
3,12.0,2833.0,4,150206.0,0,250343.0,237
3,12.0,2833.0,4,150206.0,0,250343.0,239
3,12.0,2833.0,4,150206.0,0,248885.0,242
3,12.0,125164.0,4,150206.0,0,249024.0,244
